"sample_raw_id","feature_id","name_sirius","smiles_sirius","InChI_sirius","NPC.pathway_canopus","NPC.superclass_canopus","RF_importance","Mature - Young.sample_raw_id","Mature - Young.group","Mature - Young.posthoc_Pvalue","Mature - Young.log10P"
"1","X1_198.1_0.3_peak",1,"3-Fluoro-5-Isopropoxybenzeneboronic Acid","B(C1=CC(=CC(=C1)F)OC(C)C)(O)O","InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3","Terpenoids","Monoterpenoids",NA,"X1_198.1_0.3_peak","Mature - Young",0.683263537062571,1.16541175515182
"2","X10_522.36_4.8_peak",10,"Lysolecithin","CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O","InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1","Fatty acids","Glycerophospholipids",NA,"X10_522.36_4.8_peak","Mature - Young",0.393041604627102,1.40556147582399
"3","X100_279.17_1.4_peak",100,"Phenylalanylleucine","CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N","InChI=1S/C15H22N2O3/c1-10(2)8-13(15(19)20)17-14(18)12(16)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)","Amino acids and Peptides","Small peptides",NA,"X100_279.17_1.4_peak","Mature - Young",0.443122920372661,1.35347578566253
"4","X1000_316.19_1.3_peak",1000,"(4S)-4-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-5-oxo-5-[[(2S)-1-oxopropan-2-yl]amino]pentanoic acid","CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(C)C=O)N","InChI=1S/C14H25N3O5/c1-4-8(2)12(15)14(22)17-10(5-6-11(19)20)13(21)16-9(3)7-18/h7-10,12H,4-6,15H2,1-3H3,(H,16,21)(H,17,22)(H,19,20)","Amino acids and Peptides","Small peptides",NA,"X1000_316.19_1.3_peak","Mature - Young",0.378724288092483,1.4216768421031
"5","X1001_612.32_4.9_peak",1001,"(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]propanoyl]amino]-3-phenylpropanoyl]amino]-5-(diaminomethylideneamino)-N-[(2S)-1-oxo-1-[[(2S)-1-oxopropan-2-yl]amino]propan-2-yl]pentanamide","CC(C=O)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(C)N","InChI=1S/C27H43N9O6/c1-15(14-37)32-23(39)17(3)34-25(41)20(11-8-12-31-27(29)30)35-26(42)21(13-19-9-6-5-7-10-19)36-24(40)18(4)33-22(38)16(2)28/h5-7,9-10,14-18,20-21H,8,11-13,28H2,1-4H3,(H,32,39)(H,33,38)(H,34,41)(H,35,42)(H,36,40)(H4,29,30,31)","Amino acids and Peptides","Small peptides",NA,"X1001_612.32_4.9_peak","Mature - Young",0.776325721977816,1.10995602413162
"6","X1002_361.27_4.3_peak",1002,"O-Arachidonoyl Glycidol","CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC1CO1","InChI=1S/C23H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(24)26-21-22-20-25-22/h6-7,9-10,12-13,15-16,22H,2-5,8,11,14,17-21H2,1H3","Terpenoids","Diterpenoids",0.015,"X1002_361.27_4.3_peak","Mature - Young",0.0274251794127414,2.56185052263352
"7","X1006_463.25_5.6_peak",1006,"5-acetyl-2-hexadecoxybenzenesulfonate","CCCCCCCCCCCCCCCCOC1=C(C=C(C=C1)C(=O)C)S(=O)(=O)O","InChI=1S/C24H40O5S/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-19-29-23-18-17-22(21(2)25)20-24(23)30(26,27)28/h17-18,20H,3-16,19H2,1-2H3,(H,26,27,28)","Fatty acids","Steroids",NA,"X1006_463.25_5.6_peak","Mature - Young",0.714763663095453,1.14583753411583
"8","X1008_773.46_2.2_peak",1008,"null","CC(=O)OC1CC(CCC2(CCN3CC4CC(C3CO)CN(C4)CN=C(NC2)N)C#CC5C1CC6=CC(=C(C=C6CO)O)OC7CCNC(C7)CCC5)O","InChI=1S/C41H62N6O7/c1-26(50)53-38-18-33(51)6-9-41(10-12-47-20-27-13-30(36(47)23-49)21-46(19-27)25-45-40(42)44-24-41)8-5-28-3-2-4-32-17-34(7-11-43-32)54-39-16-29(14-35(28)38)31(22-48)15-37(39)52/h15-16,27-28,30,32-36,38,43,48-49,51-52H,2-4,6-7,9-14,17-25H2,1H3,(H3,42,44,45)","Amino acids and Peptides","Oligopeptides",NA,"X1008_773.46_2.2_peak","Mature - Young",0.79425059972154,1.10004244857427
"9","X101_345.21_0.6_peak",101,NA,NA,NA,NA,NA,0.0075,"X101_345.21_0.6_peak","Mature - Young",0.0154957699263756,2.80978684043345
"10","X1010_322.2_0.8_peak",1010,NA,NA,NA,NA,NA,NA,"X1010_322.2_0.8_peak","Mature - Young",0.456007172932932,1.34102832588668
