"smiles_sirius","InChIkey2D_sirius","rank_sirius","formulaRank_sirius","#adducts_sirius","#predictedFPs_sirius","ConfidenceScore_sirius","CSI:FingerIDScore_sirius","ZodiacScore_sirius","SiriusScore_sirius","molecularFormula_sirius","adduct_sirius","InChI_sirius","name_sirius","xlogp_sirius","pubchemids_sirius","links_sirius","dbflags_sirius","ionMass_sirius","retentionTimeInSeconds_sirius","id_sirius","feature_id","chebiid.x","chebiasciiname.x","searchscore.x","entitystar.x","chebiid.y","chebiasciiname.y","searchscore.y","entitystar.y"
"[B-](CCCCC(CCCO)(C(=O)O)N)(O)(O)O","NLSMSWJRKXBPCL",1296,1,1,1,"N/A",-301.082284509669,1,22.4523073371217,"C9H22BNO6","[M + Na]+","InChI=1S/C9H21BNO6/c11-9(8(13)14,5-3-7-12)4-1-2-6-10(15,16)17/h12,15-17H,1-7,11H2,(H,13,14)/q-1","[(5r)-5-Amino-5-Carboxy-8-Hydroxyoctyl](Trihydroxy)borate(1-)",0.492441058,"71295765","PubChem:(71295765);PubChem class - bio and metabolites",16777218,273.147872924805,300.840372,"572_mapp_batch_00026_sirius_551",551,NA,NA,NA,NA,NA,NA,NA,NA
"[B-]1(OCCO1)(O)OCCCN=C(N)N","XJUDBGIDBLBMQV",1301,2,1,1,"N/A",-197.565447600695,1,7.58114908609796,"C6H16BN3O4","[M + Na]+","InChI=1S/C6H15BN3O4/c8-6(9)10-2-1-3-12-7(11)13-4-5-14-7/h11H,1-5H2,(H4,8,9,10)/q-1","null",0,"448510;448511","PubChem:(448510 448511);PubChem class - bio and metabolites",16777218,227.117309570312,290.226192,"662_mapp_batch_00026_sirius_288",288,NA,NA,NA,NA,NA,NA,NA,NA
"[B-]1(OCCO1)(O)OCCCN=C(N)N","XJUDBGIDBLBMQV",1306,1,1,1,"N/A",-198.293046541621,0.998492462311558,12.5105824332155,"C6H16BN3O4","[M + Na]+","InChI=1S/C6H15BN3O4/c8-6(9)10-2-1-3-12-7(11)13-4-5-14-7/h11H,1-5H2,(H4,8,9,10)/q-1","null",0,"448510;448511","PubChem:(448510 448511);PubChem class - bio and metabolites",16777218,227.117279052734,301.37355,"1831_mapp_batch_00026_sirius_4445",4445,NA,NA,NA,NA,NA,NA,NA,NA
"[B]1C=CC=CN1CC","OOJYRCIXXWEFHM",765,1,1,1,"0.23763565180525056",-163.646509608986,1,3.8177838888168,"C6H9BN","[M + H]+","InChI=1S/C6H9BN/c1-2-8-6-4-3-5-7-8/h3-6H,2H2,1H3","null",1.26367033,"23726460","PubChem:(23726460);PubChem class - bio and metabolites",16777218,106.094207763672,300.762618,"1796_mapp_batch_00026_sirius_4416",4416,NA,NA,NA,NA,NA,NA,NA,NA
"[CH2+]OCCOCCOCCO","UGXJJPLCCKEJFZ",476,1,1,1,"0.3709913870875436",-40.2572931844639,1,95.0084894906372,"C7H14O4","[M + H]+","InChI=1S/C7H15O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,1-7H2/q+1","null",0,"49795067","PubChem:(49795067);PubChem class - bio and metabolites",16777218,163.096580505371,76.576698,"1145_mapp_batch_00026_sirius_2262",2262,NA,NA,NA,NA,NA,NA,NA,NA
"B(C(CCCCN)N)(OCC)OCC","FYUGRVWDCBMIQX",1303,1,1,1,"N/A",-117.307329185613,1,36.3035977533092,"C9H23BN2O2","[M + K]+","InChI=1S/C9H23BN2O2/c1-3-13-10(14-4-2)9(12)7-5-6-8-11/h9H,3-8,11-12H2,1-2H3","diethyl (1R)-1,5-diaminopentylboronate",0.381580889,"46937028;75243763","COCONUT:(CNP0043074);PubChem:(46937028 75243763);PubChem class - bio and metabolites",18874370,240.152221679688,43.6350846,"667_mapp_batch_00026_sirius_2877",2877,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O","HJJYROZZJOJOOW",1026,1,1,1,"0.13242753833284074",-279.298570764673,1,28.2862473870939,"C9H12BFO3","[M + H]+","InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3","3-Fluoro-5-Isopropoxybenzeneboronic Acid",2.15604806,"44558177;45788923","PubChem:(44558177 45788923);PubChem class - safety and toxic",67108866,198.097381591797,340.18029,"1119_mapp_batch_00026_sirius_605",605,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O","HJJYROZZJOJOOW",1011,1,1,1,"0.13712994387207939",-252.546630703259,1,21.1757563290941,"C9H12BFO3","[M + H]+","InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3","3-Fluoro-5-Isopropoxybenzeneboronic Acid",2.15604806,"44558177;45788923","PubChem:(44558177 45788923);PubChem class - safety and toxic",67108866,198.097381591797,319.446042,"1256_mapp_batch_00026_sirius_702",702,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1=CC(=CC=C1)C(=O)NC2=CC=CC=C2)(O)O","ZFEJFNWZHUMGRH",1288,3,1,2,"0.017916606787106142",-385.150640490755,0.0798994974874372,4.06092570500611,"C13H12BNO3","[M + Na]+","InChI=1S/C13H12BNO3/c16-13(15-12-7-2-1-3-8-12)10-5-4-6-11(9-10)14(17)18/h1-9,17-18H,(H,15,16)","3-(phenylcarbamoyl)phenylboronic acid",2.18912745,"10890044","PubChem:(10890044);PubChem class - safety and toxic",67108866,263.084136964874,340.128522,"210_mapp_batch_00026_sirius_3730",3730,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1=CC(=CC=C1)S(=O)(=O)NC(C)(C)C)(O)O","LSSASZPAKWQFHO",1238,1,1,1,"0.05234056199428722",-410.169817016024,1,51.9215671754038,"C10H16BNO4S","[M + H]+","InChI=1S/C10H16BNO4S/c1-10(2,3)12-17(15,16)9-6-4-5-8(7-9)11(13)14/h4-7,12-14H,1-3H3","t-Butyl 3-boronobenzenesulfonamide",1.34995115,"44119538","PubChem:(44119538);PubChem class - safety and toxic",67108866,257.099426269531,43.1820468,"249_mapp_batch_00026_sirius_3224",3224,NA,NA,NA,NA,NA,NA,NA,NA
