"query","chebiid","chebiasciiname","searchscore","entitystar"
"PHIQHXFUZVPYII","CHEBI:3424","carnitinium","0.06","3"
"QIVBCDIJIAJPQS","CHEBI:16296","D-tryptophan","0.06","3"
"KBOJOGQFRVVWBH","CHEBI:16437","N-acetyl-L-histidine","0.06","3"
"COLNVLDHVKWLRT","CHEBI:16998","D-phenylalanine","0.06","3"
"UFAHZIUFPNSHSL","CHEBI:28867","O-propanoylcarnitine","0.06","3"
"SUHOQUVVVLNYQR","CHEBI:16870","choline alfoscerate","0.06","3"
"RDHQFKQIGNGIED","CHEBI:57589","O-acetyl-L-carnitine","0.06","3"
"KSMRODHGGIIXDV","CHEBI:21553","N-acetyl-L-glutamine","0.06","3"
"NKYAAYKKNSYIIW","CHEBI:142407","5-aminoimidazol-3-ium ribonucleoside","0.06","3"
"AHLPHDHHMVZTML","CHEBI:15729","L-ornithine","0.06","3"
"ODHCTXKNWHHXJC","CHEBI:16010","5-oxoproline","0.06","3"
"GHOKWGTUZJEAQD","CHEBI:7916","pantothenic acid","0.06","3"
"HNDVDQJCIGZPNO","CHEBI:15971","L-histidine","0.06","3"
"PRBXPAHXMGDVNQ",NA,NA,NA,NA
"SNPLKNRPJHDVJA","CHEBI:27373","pantothenol","0.07","3"
"JLEBZPBDRKPWTD","CHEBI:15927","N-ribosylnicotinamide","0.06","3"
"TUHVEAJXIMEOSA","CHEBI:15728","4-guanidinobutanoic acid","0.06","3"
"RHLDLEHHTWLRFG",NA,NA,NA,NA
"LRAJIZNKBMCWJE",NA,NA,NA,NA
"FFEARJCKVFRZRR","CHEBI:16643","L-methionine","0.06","3"
"UHDGCWIWMRVCDJ","CHEBI:17562","cytidine","0.05","3"
"SNEIUMQYRCDYCH","CHEBI:40521","N(alpha)-acetyl-L-arginine","0.06","3"
"JSJWCHRYRHKBBW","CHEBI:11892","N-carbamoyl-beta-alaninate","0.07","3"
"IIRDTKBZINWQAW","CHEBI:49793","hexaethylene glycol","0.09","3"
"ISAKRJDGNUQOIC","CHEBI:17568","uracil","0.07","3"
"XUYANFPPYJSBPU","CHEBI:133209","bisorcic(1-)","0.06","3"
"RHGKLRLOHDJJDR","CHEBI:18211","citrulline","0.06","3"
"DCXYFEDJOCDNAF","CHEBI:22653","asparagine","0.06","3"
"MXNRLFUSFKVQSK","CHEBI:17311","N(6),N(6),N(6)-trimethyl-L-lysine","0.06","3"
"ZDXPYRJPNDTMRX","CHEBI:28300","glutamine","0.06","3"
"AUBGCRXOZPJJJG","CHEBI:143557","N(2)-[(2E)-3-methylhex-2-enoyl]-L-glutaminate","0.05","3"
"STEYNUVPFMIUOY","CHEBI:182655","4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine","0.05","2"
"KDXKERNSBIXSRK","CHEBI:16855","D-lysine","0.06","3"
"YKHZGLKQBYTRHO",NA,NA,NA,NA
"RHNKTNRPTOLWJS",NA,NA,NA,NA
"WHUUTDBJXJRKMK","CHEBI:14321","glutamate(1-)","0.06","3"
"OPTASPLRGRRNAP","CHEBI:16040","cytosine","0.07","3"
"ZBCBWPMODOFKDW","CHEBI:28123","diethanolamine","0.09","3"
"VUTBELPREDJDDH","CHEBI:16892","4-amino-5-hydroxymethyl-2-methylpyrimidine","0.07","3"
"BFSVOASYOCHEOV","CHEBI:52153","2-diethylaminoethanol","0.08","3"
"JDSHMPZPIAZGSV","CHEBI:27915","melamine","0.07","3"
"ONIBWKKTOPOVIA","CHEBI:16313","D-proline","0.06","3"
"UZTFMUBKZQVKLK","CHEBI:11951","4-acetamidobutanoate","0.07","3"
"JHPNVNIEXXLNTR","CHEBI:16244","4-(trimethylammonio)butanoate","0.07","3"
"CCLQKVKJOGVQLU","CHEBI:28050","homocarnosine","0.06","3"
