G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1499.0","main.cluster index_upperinput":"1499.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=156&task=2628a7a4b4d3434496bfbf572120a196&show=true	N/A	N/A	N/A	1.0020	1.0020	0	N/A	N/A	12119748.803643312	11	1499	156	11	451.2662	1	451.2662	12119748.803643312
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2099.0","main.cluster index_upperinput":"2099.0"}	This Node is a Singleton	N/A	N/A	N/A	6.3345	6.3345	0	N/A	N/A	1869786.8343579099	12	2099	-1	12	1642.1414	2	821.5707	1869786.8343579099
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"750.0","main.cluster index_upperinput":"750.0"}	This Node is a Singleton	N/A	N/A	N/A	2.3820	2.3820	0	N/A	N/A	4925354.147521846	11	750	-1	11	1110.5695	2	555.7847	4925354.147521846
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"751.0","main.cluster index_upperinput":"751.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=2628a7a4b4d3434496bfbf572120a196&show=true	N/A	N/A	N/A	6.6911	6.6911	0	N/A	N/A	21174394.08788966	12	751	12	12	568.4785	1	568.4785	21174394.08788966
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3148.0","main.cluster index_upperinput":"3148.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=2628a7a4b4d3434496bfbf572120a196&show=true	N/A	N/A	N/A	4.4729	4.4729	0	N/A	N/A	51529043.9775004	12	3148	12	12	572.4370	1	572.4370	51529043.9775004
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1500.0","main.cluster index_upperinput":"1500.0"}	This Node is a Singleton	N/A	N/A	N/A	2.2726	2.2726	0	N/A	N/A	843626.2030305163	6	1500	-1	6	1003.5933	2	502.2966	843626.2030305163
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1501.0","main.cluster index_upperinput":"1501.0"}	This Node is a Singleton	N/A	N/A	N/A	1.5351	1.5351	0	N/A	N/A	9021498.41628906	11	1501	-1	11	978.5182	2	489.7591	9021498.41628906
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7946.0","main.cluster index_upperinput":"7946.0"}	This Node is a Singleton	N/A	N/A	N/A	8.5309	8.5309	0	N/A	N/A	3437002.495520022	12	7946	-1	12	234.9448	1	234.9448	3437002.495520022
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"752.0","main.cluster index_upperinput":"752.0"}	This Node is a Singleton	N/A	N/A	N/A	0.8691	0.8691	0	N/A	N/A	20208550.121842537	11	752	-1	11	1040.6256	4	260.9064	20208550.121842537
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1502.0","main.cluster index_upperinput":"1502.0"}	This Node is a Singleton	1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)/p+1	Massbank: Lauramidopropyl betaine|3-(Dodecanoylamino)propyl(carboxymethyl)dimethylammonium|carboxymethyl-[3-(dodecanoylamino)propyl]-dimethylazanium	0.951456	3.3855	3.3855	0	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)=O	CCMSLIB00005726579	16920312.229523566	12	1502	-1	12	343.2957	1	343.2957	16920312.229523566
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"753.0","main.cluster index_upperinput":"753.0"}	This Node is a Singleton	N/A	N/A	N/A	5.0092	5.0092	0	N/A	N/A	31653527.062763207	12	753	-1	12	415.3032	1	415.3032	31653527.062763207
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6897.0","main.cluster index_upperinput":"6897.0"}	This Node is a Singleton	N/A	N/A	N/A	8.2211	8.2211	0	N/A	N/A	11266407.573097156	12	6897	-1	12	758.2224	1	758.2224	11266407.573097156
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3149.0","main.cluster index_upperinput":"3149.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=32&task=2628a7a4b4d3434496bfbf572120a196&show=true	N/A	N/A	N/A	3.6341	3.6341	0	N/A	N/A	14617610.864143087	12	3149	32	12	470.3326	1	470.3326	14617610.864143087
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2101.0","main.cluster index_upperinput":"2101.0"}	This Node is a Singleton	N/A	N/A	N/A	6.7191	6.7191	0	N/A	N/A	7597805.790696291	12	2101	-1	12	485.3817	1	485.3817	7597805.790696291
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2102.0","main.cluster index_upperinput":"2102.0"}	This Node is a Singleton	N/A	N/A	N/A	7.1923	7.1923	0	N/A	N/A	8064634.270536128	12	2102	-1	12	464.4310	1	464.4310	8064634.270536128
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"754.0","main.cluster index_upperinput":"754.0"}	This Node is a Singleton	N/A	N/A	N/A	1.1045	1.1045	0	N/A	N/A	25934338.932501465	10	754	-1	10	754.3598	2	377.6799	25934338.932501465
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1351.0","main.cluster index_upperinput":"1351.0"}	This Node is a Singleton	N/A	N/A	N/A	1.0269	1.0269	0	N/A	N/A	9940295.966500498	11	1351	-1	11	482.2243	1	482.2243	9940295.966500498
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6749.0","main.cluster index_upperinput":"6749.0"}	This Node is a Singleton	N/A	N/A	N/A	1.7595	1.7595	0	N/A	N/A	1493136.570548829	11	6749	-1	11	1509.8936	3	503.9645	1493136.570548829
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3150.0","main.cluster index_upperinput":"3150.0"}	This Node is a Singleton	N/A	N/A	N/A	0.7382	0.7382	0	N/A	N/A	10941713.872011112	11	3150	-1	11	802.4436	2	401.7218	10941713.872011112
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2628a7a4b4d3434496bfbf572120a196&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1352.0","main.cluster index_upperinput":"1352.0"}	This Node is a Singleton	N/A	N/A	N/A	1.2608	1.2608	0	N/A	N/A	9729827.479338868	11	1352	-1	11	502.3304	2	251.6652	9729827.479338868
