	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
0	9243	44	Terpenoids	0.043478260869565216	Saccharides	0.043478260869565216	4-pyrone derivatives	0.043478260869565216	1.0	0.40495485	ISDB							QGQUORCPVPRLCK						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.40495485067367554	1
1	9204	102	Fatty acids	0.5	Glycerolipids	0.5	Triacylglycerols	0.5	3.0	0.32535166	ISDB	VVEBTVMJPTZDHO-YQFZQLSNSA-N	InChI=1S/C57H100O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h16,18-19,21,25-30,54H,4-15,17,20,22-24,31-53H2,1-3H3/b19-16-,21-18-,28-25-,29-26-,30-27-/t54-/m0/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	C57H100O6		880.75199092	VVEBTVMJPTZDHO	Fatty acids	Glycerolipids	Triacylglycerols	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	3	7.325351655483246	1
2	8619	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.9151193	ISDB							LQYYKYPMVQUTCV						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9151192903518677	1
3	8417	104	Shikimates and Phenylpropanoids	0.5	Coumarins	0.5	Isocoumarins	0.5	1.0	0.0	MS1_match	KWILGNNWGSNMPA-UHFFFAOYSA-N	InChI=1S/C10H10O3/c1-6-5-7-3-2-4-8(11)9(7)10(12)13-6/h2-4,6,11H,5H2,1H3	CC1Cc2cccc(O)c2C(=O)O1	C10H10O3	pos_1_1proton1ammonium	178.06299418	KWILGNNWGSNMPA	Shikimates and Phenylpropanoids	Coumarins	Isocoumarins	Camponotus rufipes	669106.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']	['Camponotus rufipes']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']		8	3	11.0	1
8	8323	235	Amino acids and Peptides	1.0	Small peptides	1.0	Dipeptides	1.0	1.0	0.5482339	ISDB	SNEIUMQYRCDYCH-LURJTMIESA-N	InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1	CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O	C8H16N4O3		216.122240372	SNEIUMQYRCDYCH	Amino acids and Peptides	Small peptides	Dipeptides	Drosophila melanogaster	505714.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	3	7.548233926296234	1
10	8013	-1							1.0	0.38166007	ISDB	UVAVWWCPGAHKIW-UHFFFAOYSA-N	InChI=1S/C28H42O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h13,15,17-18,20,23-26H,3,7-12,14,16H2,1-2,4-6H3	C=C(CCC(C)C1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C)C(C)C	C28H42O		394.323565964	UVAVWWCPGAHKIW	Terpenoids	Steroids	Ergostane steroids	Dendronephthya studeri	3679477.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Dendronephthya']	['Dendronephthya studeri']		['Eukaryota']	['Metazoa']								2	0	2.38166007399559	1
12	7944	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	4.0	0.0	MS1_match	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(=O)O	C18H34O2	pos_1_1proton1ammonium	282.255880328	ZQPPMHVWECSIRJ	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	Oecophylla smaragdina	1083670.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Oecophyllini']	['Oecophylla']	['Oecophylla smaragdina']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	1	7.0	1
18	7909	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	36.0	0.43757764	ISDB	YZBZORUZOSCZRN-YWHLHSFDSA-N	InChI=1S/C18H28O3/c1-2-3-10-13-16-17(21-16)14-11-8-6-4-5-7-9-12-15-18(19)20/h3,8,10-11,14,16H,2,4-7,9,12-13,15H2,1H3,(H,19,20)/b10-3-,11-8-,17-14?/t16-/m0/s1	CC/C=C\C[C@@H]1OC1=C/C=C\CCCCCCCC(=O)O	C18H28O3		292.203844756	YZBZORUZOSCZRN	Fatty acids	Octadecanoids	Other Octadecanoids	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	1	6.43757763504982	1
19	7900	-1							16.0	0.35890862	ISDB	YSFGMSKQXKVXAR-UHFFFAOYSA-N	InChI=1S/C30H46O2/c1-20(2)11-9-12-21(3)13-10-14-22(4)27-23(31)19-25-29(7)18-16-26(32)28(5,6)24(29)15-17-30(25,27)8/h10-11,13-14,24-26,32H,9,12,15-19H2,1-8H3	CC(C)=CCCC(C)=CC=CC(C)=C1C(=O)CC2C1(C)CCC1C(C)(C)C(O)CCC21C	C30H46O2		438.349780712	YSFGMSKQXKVXAR	Terpenoids	Triterpenoids	Malabaricane triterpenoids	Jaspis stellifera	2841117.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Tetractinellida']	['Ancorinidae']	['Unknown']	['Jaspis']	['Jaspis stellifera']		['Eukaryota']	['Metazoa']								2	0	2.358908623456955	1
21	7897	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	9.0	0.3347229	ISDB	IJBTXFFPFVNDAG-FZXWVIKQSA-N	InChI=1S/C16H26O4/c1-2-3-9-14(17)12-13-15(18)10-7-5-4-6-8-11-16(19)20/h7,10,14-15,17-18H,2-6,8-9,11H2,1H3,(H,19,20)/b10-7-/t14-,15+/m1/s1	CCCC[C@@H](O)C#C[C@@H](O)/C=C\CCCCCC(=O)O	C16H26O4		282.183109312	IJBTXFFPFVNDAG	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	Coriolopsis gallica	241122.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Coriolopsis']	['Coriolopsis gallica']		['Eukaryota']									1	2	3.3347229063510895	1
