rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9999810527265336	-362.7154724747025	0.9999999999999999	39.3397655930847	C42H77NO7	[M + H]+	YTZVSMIKWGYJCS	InChI=1S/C42H77NO7/c1-4-7-10-13-16-19-20-22-25-27-30-33-40(46)49-36-38(50-41(47)34-31-28-24-18-15-12-9-6-3)42(48)37(35-44)43-39(45)32-29-26-23-21-17-14-11-8-5-2/h12,15,24,28,37-38,42,44,48H,4-11,13-14,16-23,25-27,29-36H2,1-3H3,(H,43,45)	Bathymodiolamide B	CCCCCCCCCCCCCC(=O)OCC(C(C(CO)NC(=O)CCCCCCCCCCC)O)OC(=O)CCC=CCC=CCCC	12.6999998	52951400;54581064	COCONUT:(CNP0232300);Natural Products:(UNPD222567);PubChem:(52951400 54581064);CHEBI:(68036);MeSH:(54581064);PubMed	2130022	708.5774536132812	475.252	1389_mapp_batch_00010_sirius_2284
2	1	1	1	0.9988905155206192	-15.388635071829688	0.9999999999999999	58.7917041507721	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11328125	48.246	3165_mapp_batch_00010_sirius_592
3	1	1	1	0.998871274776853	-0.3369776370917798	0.9999999999999999	18.83150603345158	C14H18N2O3	[M + H]+	IWIANZLCJVYEFX	InChI=1S/C14H18N2O3/c17-13(11-7-4-8-15-11)16-12(14(18)19)9-10-5-2-1-3-6-10/h1-3,5-6,11-12,15H,4,7-9H2,(H,16,17)(H,18,19)	prolylphenylalanine	C1CC(NC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O	1.31420982	1770052;1770053;7081633;5226097;6351946;44369053;53938781;56845412;61157145;61174540;103868978;103869007	COCONUT:(CNP0401040);HMDB:(11179);PubChem:(1770052 1770053 7081633 5226097 6351946 44369053 53938781 56845412 61157145 61174540 103868978 103869007);SuperNatural:(SN00036159 SN00036216 SN00036331 SN00036332);CHEBI:(74795);ZINC bio:(ZINC02115314 ZINC04038394 ZINC05260863 ZINC05260866);additional;PubChem class - bio and metabolites;Training Set;PubMed;KEGG Mine	8610406506	263.1391296386719	56.587	3574_mapp_batch_00010_sirius_256
4	1	1	1	0.9986661385575781	-0.34129546775113423	0.9999999999999999	66.97238959675288	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.0972671508789	48.508	3201_mapp_batch_00010_sirius_150
5	1	1	1	0.9981886944734399	-1.9511703355189858	0.9999999999999999	48.240875671296024	C14H18N2O4	[M + H]+	OIDKVWTWGDWMHY	InChI=1S/C14H18N2O4/c17-10-5-3-9(4-6-10)8-12(14(19)20)16-13(18)11-2-1-7-15-11/h3-6,11-12,15,17H,1-2,7-8H2,(H,16,18)(H,19,20)	prolyltyrosine	C1CC(NC1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.891414702	515715;152264;7408108;6426998;22395834;44369194;56846481;61160205;71419916;103870734;103870774	HMDB:(29029);PubChem:(515715 152264 7408108 6426998 22395834 44369194 56846481 61160205 71419916 103870734 103870774);CHEBI:(74799);additional;PubChem class - bio and metabolites;MeSH:(152264 22395834);Training Set;PubMed;KEGG Mine	8607252590	279.1338806152344	32.616	1035_mapp_batch_00010_sirius_651
6	1	1	1	0.9975747001551044	-0.7574638640636594	0.9999999999999999	22.95221541982971	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Di-L-phenylalanine	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.04445481	65104;6426953;6993089;6993090;6993091;36688992;36688993;36688994;36688995;44369305;70064327;101521825;101361980;102532464;129853212	HMDB:(13302);ZINC bio:(ZINC01605264 ZINC01605265 ZINC01605266 ZINC01605267);additional;MeSH:(65104 6993090);PubMed;NORMAN:(NS00045604);COCONUT:(CNP0348037);PubChem:(65104 6426953 6993089 6993090 6993091 36688992 36688993 36688994 36688995 44369305 70064327 101521825 101361980 102532464 129853212);CHEBI:(72723);PubChem class - bio and metabolites;Training Set;PubChem class - drug	53239918	313.1544952392578	91.916	148_mapp_batch_00010_sirius_779
7	1	1	1	0.9973931220453905	-3.3599642548227164	0.9999999999999999	39.98012499501797	C18H20N2O5	[M + H]+	JAQGKXUEKGKTKX	InChI=1S/C18H20N2O5/c19-15(9-11-1-5-13(21)6-2-11)17(23)20-16(18(24)25)10-12-3-7-14(22)8-4-12/h1-8,15-16,21-22H,9-10,19H2,(H,20,23)(H,24,25)	di-L-tyrosine	C1=CC(=CC=C1CC(C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N)O	1.19886458	70590;5057430;6998943;23276573;72704465;133113670	COCONUT:(CNP0398270);HMDB:(29117);PubChem:(70590 5057430 6998943 23276573 72704465 133113670);CHEBI:(60989 60987);ZINC bio:(ZINC02004481);additional;PubChem class - bio and metabolites;MeSH:(70590 5057430);Training Set;PubMed;KEGG Mine	8609357934	345.1448516845703	43.33	454_mapp_batch_00010_sirius_843
8	1	1	1	0.9959215303327856	-0.41359840163724254	0.9999999999999999	39.708948073268566	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.08631896972656	35.56	3803_mapp_batch_00010_sirius_23
9	1	1	1	0.9952786989698554	-0.5790714471113347	0.9999999999999999	69.7620920089614	C13H18N2O5	[M + H]+	WCRFXRIWBFRZBR	InChI=1S/C13H18N2O5/c1-7(16)11(14)12(18)15-10(13(19)20)6-8-2-4-9(17)5-3-8/h2-5,7,10-11,16-17H,6,14H2,1H3,(H,15,18)(H,19,20)	L-threonyl-L-tyrosine	CC(C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N)O	-0.482818335	11778518;14839904;67935238	HMDB:(29073);Training Set;PubChem:(11778518 14839904 67935238);CHEBI:(73667);additional	540714	283.1285705566406	29.889	723_mapp_batch_00010_sirius_1604
10	1	1	1	0.9949067451669442	-20.221133501830668	0.9999999999999999	28.428776525438906	C27H43NO3	[M + H]+	UWKNPULCJWBBDD	InChI=1S/C27H43NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-22-26(29)28-25(27(30)31)23-24-20-17-16-18-21-24/h9-10,16-18,20-21,25H,2-8,11-15,19,22-23H2,1H3,(H,28,29)(H,30,31)	N-oleoyl phenylalanine	CCCCCCCCC=CCCCCCCCC(=O)NC(CC1=CC=CC=C1)C(=O)O	8.60000038	52922059;89824951;122391266;129080747;129080768;135239995	HMDB:(62336);Training Set;PubChem:(52922059 89824951 122391266 129080747 129080768 135239995);CHEBI:(134020 134021)	16426	430.33135986328125	381.048	48_mapp_batch_00010_sirius_2106
